DATE,CITY,PRECIPITATION,PRCP
2020-12-10,New York City,0.01076923076923077,0.01076923076923077
2020-12-11,New York City,0.0,0.0
2020-12-12,New York City,0.0016666666666666668,0.0016666666666666668
2020-12-13,New York City,0.01916666666666667,0.01916666666666667
2020-12-14,New York City,0.09,0.09
2020-12-15,New York City,0.20846153846153845,0.20846153846153845
2020-12-16,New York City,0.11076923076923076,0.11076923076923076
2020-12-17,New York City,0.8411111111111111,0.8411111111111111
2020-12-18,New York City,0.045000000000000005,0.045000000000000005
2020-12-19,New York City,0.0,0.0
2020-12-20,New York City,0.010833333333333334,0.010833333333333334
2020-12-21,New York City,0.0375,0.0375
2020-12-22,New York City,0.0008333333333333334,0.0008333333333333334
2020-12-23,New York City,0.0,0.0
2020-12-24,New York City,0.035833333333333335,0.035833333333333335
2020-12-25,New York City,0.87,0.87
2020-12-26,New York City,0.11272727272727273,0.11272727272727273
2020-12-27,New York City,0.0,0.0
2020-12-28,New York City,0.0,0.0
2020-12-29,New York City,0.0008333333333333334,0.0008333333333333334
2020-12-30,New York City,0.0,0.0
2020-12-31,New York City,0.2872727272727273,0.2872727272727273
2021-01-01,New York City,0.28833333333333333,0.28833333333333333
2021-01-02,New York City,0.47500000000000003,0.47500000000000003
2021-01-03,New York City,0.03333333333333333,0.03333333333333333
2021-01-04,New York City,0.13599999999999998,0.13599999999999998
2021-01-05,New York City,0.0008333333333333334,0.0008333333333333334
2021-01-06,New York City,0.0,0.0
2021-01-07,New York City,0.0,0.0
2021-01-08,New York City,0.0,0.0
2021-01-09,New York City,0.0,0.0
2021-01-10,New York City,0.0,0.0
2021-01-11,New York City,0.0,0.0
2021-01-12,New York City,0.0,0.0
2021-01-13,New York City,0.0,0.0
2021-01-14,New York City,0.0,0.0
2021-01-15,New York City,0.07833333333333332,0.07833333333333332
2021-01-16,New York City,1.0915384615384616,1.0915384615384616
2021-01-17,New York City,0.0038461538461538464,0.0038461538461538464
2021-01-18,New York City,0.0,0.0
2021-01-19,New York City,0.0,0.0
2021-01-20,New York City,0.016153846153846154,0.016153846153846154
2021-01-21,New York City,0.0038461538461538464,0.0038461538461538464
2021-01-22,New York City,0.0007692307692307692,0.0007692307692307692
2021-01-23,New York City,0.0,0.0
2021-01-24,New York City,0.0,0.0
2021-01-25,New York City,0.0,0.0
2021-01-26,New York City,0.02,0.02
2021-01-27,New York City,0.13923076923076924,0.13923076923076924
2021-01-28,New York City,0.0015384615384615385,0.0015384615384615385
2021-01-29,New York City,0.0,0.0
2021-01-30,New York City,0.0,0.0
2021-01-31,New York City,0.017272727272727273,0.017272727272727273
2021-02-01,New York City,0.6633333333333334,0.6633333333333334
2021-02-02,New York City,0.7849999999999999,0.7849999999999999
2021-02-03,New York City,0.096,0.096
2021-02-04,New York City,0.0,0.0
2021-02-05,New York City,0.009166666666666668,0.009166666666666668
2021-02-06,New York City,0.018333333333333333,0.018333333333333333
2021-02-07,New York City,0.09727272727272727,0.09727272727272727
2021-02-08,New York City,0.267,0.267
2021-02-09,New York City,0.026363636363636363,0.026363636363636363
2021-02-10,New York City,0.015,0.015
2021-02-11,New York City,0.12333333333333335,0.12333333333333335
2021-02-12,New York City,0.0,0.0
2021-02-13,New York City,0.0007692307692307692,0.0007692307692307692
2021-02-14,New York City,0.005833333333333334,0.005833333333333334
2021-02-15,New York City,0.0016666666666666668,0.0016666666666666668
2021-02-16,New York City,0.7933333333333333,0.7933333333333333
2021-02-17,New York City,0.006153846153846154,0.006153846153846154
2021-02-18,New York City,0.13916666666666666,0.13916666666666666
2021-02-19,New York City,0.3941666666666667,0.3941666666666667
2021-02-20,New York City,0.08083333333333333,0.08083333333333333
2021-02-21,New York City,0.0,0.0
2021-02-22,New York City,0.13333333333333333,0.13333333333333333
2021-02-23,New York City,0.41545454545454547,0.41545454545454547
2021-02-24,New York City,0.016666666666666666,0.016666666666666666
2021-02-25,New York City,0.0,0.0
2021-02-26,New York City,0.0,0.0
2021-02-27,New York City,0.18083333333333332,0.18083333333333332
2021-02-28,New York City,0.2625,0.2625
2021-03-01,New York City,0.3923076923076923,0.3923076923076923
2021-03-02,New York City,0.005,0.005
2021-03-03,New York City,0.0,0.0
2021-03-04,New York City,0.0,0.0
2021-03-05,New York City,0.0,0.0
2021-03-06,New York City,0.0,0.0
2021-03-07,New York City,0.0,0.0
2021-03-08,New York City,0.0,0.0
2021-03-09,New York City,0.0,0.0
2021-03-10,New York City,0.0,0.0
2021-03-11,New York City,0.0,0.0
2021-03-12,New York City,0.0016666666666666668,0.0016666666666666668
2021-03-13,New York City,0.0,0.0
2021-03-14,New York City,0.0,0.0
2021-03-15,New York City,0.0,0.0
2021-03-16,New York City,0.0008333333333333334,0.0008333333333333334
2021-03-17,New York City,0.0,0.0
2021-03-18,New York City,0.14083333333333334,0.14083333333333334
2021-03-19,New York City,0.5766666666666667,0.5766666666666667
2021-03-20,New York City,0.0018181818181818182,0.0018181818181818182
2021-03-21,New York City,0.0,0.0
2021-03-22,New York City,0.0,0.0
2021-03-23,New York City,0.0,0.0
2021-03-24,New York City,0.24545454545454548,0.24545454545454548
2021-03-25,New York City,0.5383333333333333,0.5383333333333333
2021-03-26,New York City,0.03916666666666667,0.03916666666666667
2021-03-27,New York City,0.0025,0.0025
2021-03-28,New York City,0.205,0.205
2021-03-29,New York City,0.6141666666666666,0.6141666666666666
2021-03-30,New York City,0.0033333333333333335,0.0033333333333333335
2021-03-31,New York City,0.14583333333333334,0.14583333333333334
2021-04-01,New York City,0.4475,0.4475
2021-04-02,New York City,0.014166666666666668,0.014166666666666668
2021-04-03,New York City,0.0009090909090909091,0.0009090909090909091
2021-04-04,New York City,0.0,0.0
2021-04-05,New York City,0.0,0.0
2021-04-06,New York City,0.0,0.0
2021-04-07,New York City,0.0,0.0
2021-04-08,New York City,0.0,0.0
2021-04-09,New York City,0.0008333333333333334,0.0008333333333333334
2021-04-10,New York City,0.01,0.01
2021-04-11,New York City,0.11416666666666668,0.11416666666666668
2021-04-12,New York City,0.5191666666666667,0.5191666666666667
2021-04-13,New York City,0.26333333333333336,0.26333333333333336
2021-04-14,New York City,0.004166666666666667,0.004166666666666667
2021-04-15,New York City,0.24250000000000002,0.24250000000000002
2021-04-16,New York City,0.8116666666666666,0.8116666666666666
2021-04-17,New York City,0.05416666666666667,0.05416666666666667
2021-04-18,New York City,0.0016666666666666668,0.0016666666666666668
2021-04-19,New York City,0.0008333333333333334,0.0008333333333333334
2021-04-20,New York City,0.00818181818181818,0.00818181818181818
2021-04-21,New York City,0.0375,0.0375
2021-04-22,New York City,0.17833333333333334,0.17833333333333334
2021-04-23,New York City,0.0027272727272727275,0.0027272727272727275
2021-04-24,New York City,0.0,0.0
2021-04-25,New York City,0.46545454545454545,0.46545454545454545
2021-04-26,New York City,0.06727272727272728,0.06727272727272728
2021-04-27,New York City,0.004545454545454546,0.004545454545454546
2021-04-28,New York City,0.007000000000000001,0.007000000000000001
2021-04-29,New York City,0.06272727272727273,0.06272727272727273
2021-04-30,New York City,0.05545454545454545,0.05545454545454545
2021-05-01,New York City,0.015454545454545453,0.015454545454545453
2021-05-02,New York City,0.0009090909090909091,0.0009090909090909091
2021-05-03,New York City,0.10090909090909092,0.10090909090909092
2021-05-04,New York City,0.6245454545454545,0.6245454545454545
2021-05-05,New York City,0.101,0.101
2021-05-06,New York City,0.20800000000000002,0.20800000000000002
2021-05-07,New York City,0.0018181818181818182,0.0018181818181818182
2021-05-08,New York City,0.009,0.009
2021-05-09,New York City,0.16499999999999998,0.16499999999999998
2021-05-10,New York City,0.4645454545454546,0.4645454545454546
2021-05-11,New York City,0.005454545454545455,0.005454545454545455
2021-05-12,New York City,0.0,0.0
2021-05-13,New York City,0.0,0.0
2021-05-14,New York City,0.0,0.0
2021-05-15,New York City,0.0,0.0
2021-05-16,New York City,0.0009090909090909091,0.0009090909090909091
2021-05-17,New York City,0.004545454545454546,0.004545454545454546
2021-05-18,New York City,0.0008333333333333334,0.0008333333333333334
2021-05-19,New York City,0.0,0.0
2021-05-20,New York City,0.0,0.0
2021-05-21,New York City,0.0,0.0
2021-05-22,New York City,0.0,0.0
2021-05-23,New York City,0.0,0.0
